Result for strategy KamaFama
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      REI/USDT │      7 │         2.31 │          90.891 │        90.89 │          3:16:00 │    7     0     0   100 │
│       OM/USDT │      9 │         1.61 │          55.935 │        55.93 │          3:47:00 │    9     0     0   100 │
│   PEOPLE/USDT │      6 │         3.41 │          30.629 │        30.63 │          1:52:00 │    6     0     0   100 │
│      WIF/USDT │      5 │         1.22 │          30.165 │        30.16 │          1:33:00 │    5     0     0   100 │
│ 1000SATS/USDT │      1 │         7.72 │          27.347 │        27.35 │          0:05:00 │    1     0     0   100 │
│     PROM/USDT │      4 │         1.91 │          27.313 │        27.31 │          0:21:00 │    4     0     0   100 │
│     BONK/USDT │      7 │          0.9 │          26.158 │        26.16 │          0:48:00 │    7     0     0   100 │
│   SANTOS/USDT │      6 │         1.44 │          24.798 │         24.8 │          0:48:00 │    6     0     0   100 │
│       IQ/USDT │      1 │         4.82 │          21.531 │        21.53 │          0:25:00 │    1     0     0   100 │
│      CKB/USDT │      6 │         0.96 │          20.912 │        20.91 │          4:31:00 │    6     0     0   100 │
│      KMD/USDT │      5 │         1.09 │          20.740 │        20.74 │  2 days, 2:30:00 │    5     0     0   100 │
│      LPT/USDT │      6 │         0.82 │          20.487 │        20.49 │   1 day, 2:48:00 │    6     0     0   100 │
│      RVN/USDT │      3 │         1.04 │          19.628 │        19.63 │          0:17:00 │    3     0     0   100 │
