Result for strategy KamaFama
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│       OM/USDT │     11 │         2.33 │          21.734 │        21.73 │          4:14:00 │    9     0     2  81.8 │
│   PEOPLE/USDT │     10 │         2.68 │          18.991 │        18.99 │          2:53:00 │    7     0     3  70.0 │
│     PROM/USDT │      4 │         4.21 │          15.408 │        15.41 │          1:58:00 │    4     0     0   100 │
│     ARKM/USDT │      3 │         3.39 │          11.367 │        11.37 │          2:54:00 │    3     0     0   100 │
│      CKB/USDT │      7 │         1.33 │          10.354 │        10.35 │          4:29:00 │    5     0     2  71.4 │
│   SANTOS/USDT │      4 │         2.81 │           9.428 │         9.43 │          2:18:00 │    4     0     0   100 │
│      UMA/USDT │      4 │         2.68 │           7.676 │         7.68 │          4:39:00 │    3     0     1  75.0 │
│       IQ/USDT │      2 │         3.18 │           7.540 │         7.54 │          5:53:00 │    2     0     0   100 │
│      WLD/USDT │      2 │         3.22 │           7.187 │         7.19 │          2:52:00 │    2     0     0   100 │
│      SYN/USDT │      6 │         1.45 │           6.971 │         6.97 │          3:07:00 │    5     0     1  83.3 │
│     DEXE/USDT │      2 │         5.55 │           6.324 │         6.32 │          3:12:00 │    1     0     1  50.0 │
│      FTT/USDT │      2 │         3.92 │           6.109 │         6.11 │          0:20:00 │    2     0     0   100 │
│     COTI/USDT │      3 │         1.61 │           5.843 │         5.84 │         12:13:00 │    2     0     1  66.7 │
│     VIDT/USDT │      3 │         2.41 │           5.663 │         5.66 │          2:58:00 │    3     0     0   100 │
│      UNI/USDT │      1 │         4.89 │           5.579 │         5.58 │          8:09:00 │    1     0     0   100 │
│      TKO/USDT │      2 │         2.91 │           5.498 │          5.5 │         16:38:00 │    2     0     0   100 │
│      SUN/USDT │      1 │         4.96 │           5.105 │          5.1 │  3 days, 9:31:00 │    1     0     0   100 │
│    BEAMX/USDT │      3 │         2.65 │           5.104 │          5.1 │          7:20:00 │    3     0     0   100 │
│      TRB/USDT │      3 │         3.23 │           4.571 │         4.57 │          5:24:00 │    2     0     1  66.7 │
│    FLOKI/USDT │      1 │         3.92 │           4.495 │          4.5 │          1:35:00 │    1     0     0   100 │
│      GTC/USDT │      1 │         5.06 │           4.169 │         4.17 │         18:34:00 │    1     0     0   100 │
│      XAI/USDT │      5 │         0.96 │           4.090 │         4.09 │          4:58:00 │    3     0     2  60.0 │
│     PEPE/USDT │      1 │         3.29 │           3.949 │         3.95 │          3:50:00 │    1     0     0   100 │
│      ERN/USDT │      2 │          2.7 │           3.875 │         3.87 │          2:52:00 │    2     0     0   100 │
│      PHB/USDT │      2 │         1.35 │           3.737 │         3.74 │          3:02:00 │    1     0     1  50.0 │
│     ORDI/USDT │      1 │         3.19 │           3.711 │         3.71 │          3:20:00 │    1     0     0   100 │
│    LAZIO/USDT │      2 │         2.55 │           3.370 │         3.37 │         18:26:00 │    2     0     0   100 │
│      AMP/USDT │      1 │         2.91 │           3.332 │         3.33 │          0:40:00 │    1     0     0   100 │
│      UTK/USDT │      1 │         4.22 │           3.173 │         3.17 │          2:00:00 │    1     0     0   100 │
│      ETC/USDT │      1 │         4.75 │           3.100 │          3.1 │          3:20:00 │    1     0     0   100 │
│    CREAM/USDT │      1 │         3.84 │           2.917 │         2.92 │         18:10:00 │    1     0     0   100 │
│      ACA/USDT │      1 │         3.56 │           2.884 │         2.88 │          1:15:00 │    1     0     0   100 │
│      LDO/USDT │      1 │         5.06 │           2.706 │         2.71 │          0:05:00 │    1     0     0   100 │
│    TFUEL/USDT │      1 │         4.82 │           2.676 │         2.68 │          0:16:00 │    1     0     0   100 │
│      SEI/USDT │      2 │         1.77 │           2.377 │         2.38 │          9:30:00 │    1     0     1  50.0 │
│      ENS/USDT │      1 │         2.86 │           2.355 │         2.35 │         17:45:00 │    1     0     0   100 │
│      BAR/USDT │      1 │         3.01 │           2.312 │         2.31 │          2:10:00 │    1     0     0   100 │
│      MAV/USDT │      1 │         4.07 │           2.256 │         2.26 │          1:20:00 │    1     0     0   100 │
│     RARE/USDT │      1 │         2.42 │           2.243 │         2.24 │          2:30:00 │    1     0     0   100 │
│      ICP/USDT │      1 │         4.22 │           2.240 │         2.24 │          2:00:00 │    1     0     0   100 │
│     DEGO/USDT │      2 │         1.85 │           2.037 │         2.04 │          2:42:00 │    2     0     0   100 │
│     OSMO/USDT │      1 │         2.89 │           1.974 │         1.97 │          3:45:00 │    1     0     0   100 │
│      JOE/USDT │      2 │          1.5 │           1.776 │         1.78 │          5:25:00 │    1     0     1  50.0 │
│     DUSK/USDT │      2 │          1.5 │           1.640 │         1.64 │          5:10:00 │    2     0     0   100 │
│      SKL/USDT │      1 │         2.05 │           1.343 │         1.34 │          2:20:00 │    1     0     0   100 │
│      DYM/USDT │      1 │         1.47 │           1.256 │         1.26 │          6:10:00 │    1     0     0   100 │
│     IOTX/USDT │      1 │         1.17 │           1.205 │         1.21 │          4:20:00 │    1     0     0   100 │
│    CYBER/USDT │      1 │         2.05 │           1.190 │         1.19 │          2:50:00 │    1     0     0   100 │
│      DIA/USDT │      3 │         0.77 │           1.165 │         1.17 │          2:58:00 │    2     0     1  66.7 │
│     API3/USDT │      1 │         1.41 │           1.030 │         1.03 │          4:15:00 │    1     0     0   100 │
│      ARB/USDT │      1 │         0.98 │           0.665 │         0.66 │         18:50:00 │    1     0     0   100 │
│     MEME/USDT │      1 │         0.34 │           0.386 │         0.39 │          5:10:00 │    1     0     0   100 │
│     PYTH/USDT │      1 │         0.26 │           0.310 │         0.31 │         12:20:00 │    1     0     0   100 │
│      SUI/USDT │      1 │         0.32 │           0.171 │         0.17 │          3:55:00 │    1     0     0   100 │
│      LPT/USDT │      1 │         0.03 │           0.034 │         0.03 │         12:55:00 │    1     0     0   100 │
│ 1000SATS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ALGO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPACA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALPHA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ANKR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      APE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      APT/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ARDR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ARPA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       AR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ASR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AST/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ATA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ATOM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    AUDIO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AVA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AXS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   BADGER/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BETA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BICO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BIFI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BLUR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
