Result for strategy KamaFama
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃    Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│     NULS/USDT │      8 │          3.7 │          33.182 │        33.18 │         5:02:00 │    7     0     1  87.5 │
│      REI/USDT │     16 │         1.72 │          31.398 │         31.4 │         3:21:00 │   11     0     5  68.8 │
│     HIGH/USDT │      4 │         5.06 │          26.359 │        26.36 │         3:08:00 │    4     0     0   100 │
│     BONK/USDT │     10 │         3.56 │          24.027 │        24.03 │         1:45:00 │   10     0     0   100 │
│     FARM/USDT │      6 │         2.56 │          21.039 │        21.04 │         2:42:00 │    5     0     1  83.3 │
│   PENDLE/USDT │      5 │         2.67 │          20.758 │        20.76 │         2:46:00 │    4     0     1  80.0 │
│    JASMY/USDT │      5 │         3.37 │          19.685 │        19.68 │         2:55:00 │    5     0     0   100 │
│      RAY/USDT │      5 │         3.15 │          18.996 │         19.0 │         1:24:00 │    4     0     1  80.0 │
│    FLOKI/USDT │      5 │         4.63 │          18.030 │        18.03 │         1:24:00 │    5     0     0   100 │
│     PEPE/USDT │      6 │         3.27 │          17.412 │        17.41 │         3:03:00 │    5     0     1  83.3 │
│      CTK/USDT │      4 │          2.9 │          14.731 │        14.73 │         2:52:00 │    3     0     1  75.0 │
│      UMA/USDT │      4 │         2.96 │          12.261 │        12.26 │         4:54:00 │    4     0     0   100 │
│      ERN/USDT │      5 │         2.21 │          11.886 │        11.89 │         7:44:00 │    4     0     1  80.0 │
│      NOT/USDT │      2 │         4.19 │          10.752 │        10.75 │         3:18:00 │    2     0     0   100 │
│      CLV/USDT │      3 │         3.65 │           9.072 │         9.07 │         1:46:00 │    3     0     0   100 │
│      AMP/USDT │      7 │         1.43 │           8.829 │         8.83 │         2:36:00 │    5     0     2  71.4 │
│    CREAM/USDT │      5 │         1.37 │           8.776 │         8.78 │         5:51:00 │    4     0     1  80.0 │
│      PSG/USDT │      2 │         5.21 │           8.652 │         8.65 │        23:31:00 │    2     0     0   100 │
│      RVN/USDT │      2 │         3.25 │           8.381 │         8.38 │         3:48:00 │    2     0     0   100 │
│      DGB/USDT │      2 │         2.73 │           7.598 │          7.6 │         1:56:00 │    2     0     0   100 │
│       IQ/USDT │      3 │         3.08 │           7.312 │         7.31 │         1:35:00 │    3     0     0   100 │
│     BOME/USDT │      7 │         0.56 │           7.116 │         7.12 │         5:20:00 │    5     0     2  71.4 │
│        W/USDT │      3 │         1.99 │           7.073 │         7.07 │         6:03:00 │    2     0     1  66.7 │
│      ACA/USDT │      3 │         2.43 │           7.056 │         7.06 │         2:16:00 │    3     0     0   100 │
│   SANTOS/USDT │      1 │         5.69 │           6.622 │         6.62 │         5:23:00 │    1     0     0   100 │
│       SC/USDT │      1 │         4.82 │           6.389 │         6.39 │         0:27:00 │    1     0     0   100 │
│      PHB/USDT │      2 │         3.43 │           6.270 │         6.27 │         3:45:00 │    2     0     0   100 │
│      JOE/USDT │      3 │         1.92 │           6.267 │         6.27 │         3:25:00 │    2     0     1  66.7 │
│     TNSR/USDT │      2 │         2.53 │           6.250 │         6.25 │         2:55:00 │    2     0     0   100 │
│     FLUX/USDT │      1 │         6.69 │           6.100 │          6.1 │         0:30:00 │    1     0     0   100 │
│     ALGO/USDT │      1 │         4.57 │           5.628 │         5.63 │         1:25:00 │    1     0     0   100 │
│      ASR/USDT │      3 │         1.97 │           4.768 │         4.77 │         4:17:00 │    3     0     0   100 │
│     GALA/USDT │      2 │         2.53 │           4.767 │         4.77 │         2:38:00 │    2     0     0   100 │
│     PROM/USDT │      1 │         4.59 │           4.723 │         4.72 │         1:25:00 │    1     0     0   100 │
│    TFUEL/USDT │      2 │         1.58 │           4.424 │         4.42 │         3:22:00 │    2     0     0   100 │
│      LPT/USDT │      2 │         1.87 │           4.402 │          4.4 │         7:05:00 │    2     0     0   100 │
│    ALPHA/USDT │      2 │         1.42 │           4.384 │         4.38 │  1 day, 2:35:00 │    1     0     1  50.0 │
│       OM/USDT │      6 │         1.06 │           4.372 │         4.37 │         1:59:00 │    4     0     2  66.7 │
│      WLD/USDT │      1 │         3.78 │           4.260 │         4.26 │         5:10:00 │    1     0     0   100 │
│     API3/USDT │      2 │         1.82 │           4.120 │         4.12 │        11:08:00 │    2     0     0   100 │
│      STX/USDT │      1 │         3.76 │           4.055 │         4.05 │        11:20:00 │    1     0     0   100 │
│     CAKE/USDT │      1 │         4.25 │           3.990 │         3.99 │         1:20:00 │    1     0     0   100 │
│       AR/USDT │      1 │         3.61 │           3.757 │         3.76 │         0:15:00 │    1     0     0   100 │
│     CTXC/USDT │      4 │         1.21 │           3.701 │          3.7 │         2:00:00 │    4     0     0   100 │
│     DATA/USDT │      1 │         3.13 │           3.626 │         3.63 │         1:55:00 │    1     0     0   100 │
│      PHA/USDT │      1 │         3.72 │           3.589 │         3.59 │         1:35:00 │    1     0     0   100 │
│     ANKR/USDT │      2 │         1.73 │           3.457 │         3.46 │         6:00:00 │    2     0     0   100 │
│      JUV/USDT │      1 │         2.84 │           3.348 │         3.35 │         2:15:00 │    1     0     0   100 │
│      TRU/USDT │      4 │         0.66 │           3.291 │         3.29 │         3:11:00 │    2     0     2  50.0 │
│      FTM/USDT │      1 │         5.11 │           2.942 │         2.94 │         3:28:00 │    1     0     0   100 │
│     DUSK/USDT │      1 │         2.54 │           2.868 │         2.87 │         8:05:00 │    1     0     0   100 │
│      REZ/USDT │      1 │         2.34 │           2.834 │         2.83 │         7:40:00 │    1     0     0   100 │
│    PORTO/USDT │      1 │         3.98 │           2.547 │         2.55 │         3:55:00 │    1     0     0   100 │
│     WAXP/USDT │      1 │         5.03 │           2.517 │         2.52 │        16:10:00 │    1     0     0   100 │
│    ETHFI/USDT │      2 │         0.92 │           2.289 │         2.29 │         4:13:00 │    1     0     1  50.0 │
│    AUDIO/USDT │      1 │         4.02 │           2.266 │         2.27 │         0:45:00 │    1     0     0   100 │
│      DIA/USDT │      1 │          1.8 │           2.094 │         2.09 │         2:15:00 │    1     0     0   100 │
│     CELR/USDT │      1 │         1.43 │           2.087 │         2.09 │         2:55:00 │    1     0     0   100 │
│   ALPACA/USDT │      1 │         2.13 │           2.001 │          2.0 │         4:30:00 │    1     0     0   100 │
│      FIO/USDT │      1 │         1.43 │           1.857 │         1.86 │         1:55:00 │    1     0     0   100 │
│   BURGER/USDT │      2 │         1.04 │           1.824 │         1.82 │         6:10:00 │    1     0     1  50.0 │
│      AST/USDT │      1 │         2.65 │           1.814 │         1.81 │         1:30:00 │    1     0     0   100 │
│      FET/USDT │      2 │         1.24 │           1.738 │         1.74 │         2:48:00 │    2     0     0   100 │
│      YGG/USDT │      2 │         1.44 │           1.541 │         1.54 │         2:32:00 │    1     0     1  50.0 │
│      WAN/USDT │      2 │         0.62 │           1.480 │         1.48 │        10:05:00 │    1     0     1  50.0 │
│    FORTH/USDT │      4 │         0.47 │           1.290 │         1.29 │         5:16:00 │    2     0     2  50.0 │
│     MBOX/USDT │      1 │         1.41 │           1.059 │         1.06 │         1:30:00 │    1     0     0   100 │
│      ENS/USDT │      1 │         0.86 │           1.034 │         1.03 │         8:05:00 │    1     0     0   100 │
│     BETA/USDT │      1 │         0.88 │           1.027 │         1.03 │         9:25:00 │    1     0     0   100 │
│     MINA/USDT │      1 │          0.9 │           0.990 │         0.99 │        13:35:00 │    1     0     0   100 │
│    QUICK/USDT │      1 │         1.24 │           0.681 │         0.68 │         2:55:00 │    1     0     0   100 │
│       OG/USDT │      1 │         0.68 │           0.659 │         0.66 │         3:55:00 │    1     0     0   100 │
│      GMT/USDT │      1 │         0.51 │           0.645 │         0.65 │         6:50:00 │    1     0     0   100 │
│    CYBER/USDT │      1 │         1.21 │           0.617 │         0.62 │         6:00:00 │    1     0     0   100 │
│   PEOPLE/USDT │     11 │         0.45 │           0.582 │         0.58 │         4:18:00 │    7     0     4  63.6 │
│     DEXE/USDT │      1 │         0.69 │           0.436 │         0.44 │         4:25:00 │    1     0     0   100 │
│      KMD/USDT │      3 │         0.08 │           0.159 │         0.16 │         2:51:00 │    1     0     2  33.3 │
│    1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│      ACE/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│     AEVO/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│    ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│      ALT/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│      APE/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│      APT/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
│      ARB/USDT │      0 │          0.0 │           0.000 │          0.0 │            0:00 │    0     0     0     0 │
